MatchID,TotalSeconds,HomeTeam,RoadTeam,HomeNumberPenalties,RoadNumberPenalties,HomeTeamPMinutes,RoadTeamPMinutes,HomePenaltySum,RoadPenaltySum,HomeGoals-RoadGoals,RoadGoals-HomeGoals,KurtHomePlayers-KurtRoadPlayers,RoadPlayers,HomePlayers,OliverHomePlayers-OliverRoadPlayers,Period,TimeOfPenalty,minutes,seconds,isRegular
2007020146,557,13,7,1,1,5,5,1,3,0,0,0,11,12,1,1,00:09:17,9,17,1
2007020146,967,13,7,1,2,2,15,2,4,0,0,0,17,16,-1,1,00:16:07,16,7,1
2007020146,1720,13,7,0,1,0,2,3,7,1,-1,1,6,7,1,2,00:08:40,28,40,1
2007020150,1309,15,2,1,2,2,4,3,1,-3,3,0,18,18,0,2,00:01:49,21,49,1
2007020151,555,12,8,1,1,5,5,1,0,0,0,0,12,11,-1,1,00:09:15,9,15,1
2007020153,3086,4,31,2,4,4,24,4,6,-2,2,0,33,32,-1,3,00:11:26,51,26,1
2007020155,1171,24,22,2,1,4,2,1,0,-1,1,0,18,18,0,1,00:19:31,19,31,1
2007020156,1902,19,6,1,1,2,2,2,2,0,0,1,11,12,1,2,00:11:42,31,42,1
2007020161,426,1,3,1,1,2,2,1,1,-1,1,1,10,11,1,1,00:07:06,7,6,1
2007020162,790,22,26,1,1,5,5,1,0,0,0,0,12,11,-1,1,00:13:10,13,10,1
2007020162,1518,22,26,1,1,5,5,2,2,1,-1,0,12,11,-1,2,00:05:18,25,18,1
2007020163,1671,20,15,1,1,2,2,0,0,-1,1,0,12,11,-1,2,00:07:51,27,51,1
2007020163,2504,20,15,1,1,2,2,1,2,-1,1,0,12,7,-5,3,00:01:44,41,44,1
2007020163,2727,20,15,1,1,5,5,2,3,-1,1,0,12,11,-1,3,00:05:27,45,27,1
2007020165,5,18,24,1,1,5,5,0,0,0,0,0,12,11,-1,1,00:00:05,0,5,1
2007020165,2725,18,24,1,1,5,5,4,4,0,0,0,12,11,-1,3,00:05:25,45,25,1
2007020165,2769,18,24,1,2,2,4,5,5,1,-1,0,18,18,0,3,00:06:09,46,9,1
2007020168,406,14,12,1,1,5,5,0,0,0,0,0,12,11,-1,1,00:06:46,6,46,1
2007020168,608,14,12,1,1,5,5,1,1,0,0,0,12,11,-1,1,00:10:08,10,8,1
2007020168,2714,14,12,1,1,5,5,5,3,1,-1,0,12,11,-1,3,00:05:14,45,14,1
2007020168,3175,14,12,0,2,0,4,6,4,3,-3,0,11,12,1,3,00:12:55,52,55,1
2007020169,2666,21,29,1,1,2,2,3,1,-1,1,0,12,11,-1,3,00:04:26,44,26,1
2007020169,3193,21,29,1,1,2,2,4,4,-1,1,0,12,11,-1,3,00:13:13,53,13,1
2007020173,960,28,12,1,1,2,2,0,1,1,-1,0,12,11,-1,1,00:16:00,16,0,1
2007020173,3434,28,12,1,1,2,2,4,5,4,-4,0,11,12,1,3,00:17:14,57,14,1
2007020174,2941,23,3,0,2,0,4,2,1,1,-1,0,11,12,1,3,00:09:01,49,1,1
2007020174,3172,23,3,2,0,4,0,2,3,2,-2,0,12,11,-1,3,00:12:52,52,52,1
2007020175,380,2,7,1,1,5,5,0,0,0,0,0,12,11,-1,1,00:06:20,6,20,1
2007020175,2904,2,7,1,2,5,15,6,3,3,-3,0,18,18,0,3,00:08:24,48,24,1
2007020175,3313,2,7,1,1,10,10,7,6,3,-3,0,12,12,0,3,00:15:13,55,13,1
2007020175,3343,2,7,0,2,0,4,8,7,3,-3,0,11,12,1,3,00:15:43,55,43,1
2007020176,1923,27,31,1,1,5,5,1,2,4,-4,0,12,11,-1,2,00:12:03,32,3,1
2007020176,2377,27,31,1,1,5,5,3,3,5,-5,0,12,11,-1,2,00:19:37,39,37,1
2007020176,3267,27,31,2,0,4,0,5,4,3,-3,0,12,11,-1,3,00:14:27,54,27,1
2007020177,806,20,18,2,1,7,5,1,0,1,-1,0,16,17,1,1,00:13:26,13,26,1
2007020177,1029,20,18,0,1,0,2,3,1,1,-1,-5,6,1,-5,1,00:17:09,17,9,1
2007020180,1499,25,17,1,0,2,0,1,3,-2,2,-2,8,6,-2,2,00:04:59,24,59,1
2007020180,1588,25,17,1,1,2,2,2,3,-2,2,-1,12,9,-3,2,00:06:28,26,28,1
2007020180,2395,25,17,1,1,2,2,3,5,-2,2,0,12,11,-1,2,00:19:55,39,55,1
2007020181,962,10,30,1,1,5,5,0,3,0,0,0,12,11,-1,1,00:16:02,16,2,1
2007020181,2087,10,30,1,1,5,5,4,6,0,0,0,12,11,-1,2,00:14:47,34,47,1
2007020181,2314,10,30,2,2,15,15,5,7,0,0,0,20,22,2,2,00:18:34,38,34,1
2007020181,2400,10,30,1,1,2,2,7,9,0,0,0,12,12,0,2,00:20:00,40,0,1
2007020182,1200,14,1,1,1,2,2,0,0,1,-1,0,0,0,0,1,00:20:00,20,0,1
2007020183,651,3,7,1,1,2,2,0,0,1,-1,0,12,11,-1,1,00:10:51,10,51,1
2007020183,803,3,7,1,1,2,2,1,1,1,-1,0,11,12,1,1,00:13:23,13,23,1
2007020183,1054,3,7,1,1,5,5,2,2,1,-1,0,11,12,1,1,00:17:34,17,34,1
2007020183,1934,3,7,1,2,5,7,5,3,0,0,0,16,18,2,2,00:12:14,32,14,1
2007020184,631,8,21,1,1,5,5,0,1,-1,1,0,11,12,1,1,00:10:31,10,31,1
2007020184,2352,8,21,1,1,5,5,1,2,-3,3,0,11,12,1,2,00:19:12,39,12,1
2007020185,1042,22,24,1,1,5,5,0,0,-2,2,0,12,11,-1,1,00:17:22,17,22,1
2007020185,3589,22,24,3,2,6,4,3,3,-5,5,0,30,26,-4,3,00:19:49,59,49,1
2007020186,2501,6,17,1,1,2,2,2,2,0,0,0,11,12,1,3,00:01:41,41,41,1
2007020189,159,27,13,1,1,5,5,0,0,0,0,0,12,12,0,1,00:02:39,2,39,1
2007020189,3600,27,13,1,2,2,4,2,6,1,-1,0,0,0,0,3,00:20:00,60,0,1
2007020191,1186,23,14,1,1,2,2,2,0,0,0,0,12,11,-1,1,00:19:46,19,46,1
2007020191,2170,23,14,1,1,5,5,4,3,0,0,0,12,11,-1,2,00:16:10,36,10,1
