MatchID,HomeTeam,RoadTeam,HomeNumberPenalties,RoadNumberPenalties,HomeTeamPMinutes,RoadTeamPMinutes,GoalDifferential,HomePenaltySum,AwayPenaltySum,HomeTeamPlayers,RoadTeamPlayers,Period,Time_Of_Penalty,minutes,seconds,RegularSeason
2014020119,4,27,1,1,2,2,0,NULL,NULL,5,5,1,0:15:25,15,25,1
2014020119,4,27,1,1,2,2,0,NULL,NULL,5,5,1,0:18:50,18,50,1
2014020116,16,3,1,1,2,2,-1,NULL,NULL,5,5,2,0:17:48,37,48,1
2014020112,18,4,1,1,2,2,0,NULL,NULL,5,5,2,0:09:06,29,6,1
2014020111,7,9,1,1,2,2,0,NULL,NULL,5,5,2,0:18:54,38,54,1
2014020107,1,13,1,1,2,2,-3,NULL,NULL,5,5,3,0:15:48,55,48,1
2014020095,18,25,1,1,2,2,-1,NULL,NULL,5,5,1,0:17:48,17,48,1
2014020095,18,25,1,1,2,2,-3,NULL,NULL,5,5,3,0:20:00,60,0,1
2014020094,9,15,1,1,2,2,-2,NULL,NULL,4,5,3,0:08:48,48,48,1
2014020090,15,7,1,1,2,2,0,NULL,NULL,5,5,2,0:19:39,39,39,1
2014020082,2,9,1,1,2,2,-1,NULL,NULL,5,5,3,0:15:45,55,45,1
2014020078,6,12,1,1,2,2,1,NULL,NULL,5,5,2,0:19:20,39,20,1
2014020075,23,26,1,1,2,2,0,NULL,NULL,5,5,1,0:19:56,19,56,1
2014020073,25,12,1,1,2,2,-1,NULL,NULL,5,5,1,0:09:00,9,0,1
2014020072,32,18,1,1,2,2,-1,NULL,NULL,5,4,2,0:10:16,30,16,1
2014020068,15,28,1,1,2,2,-1,NULL,NULL,4,5,2,0:08:21,28,21,1
2014020068,15,28,1,1,2,2,1,NULL,NULL,5,5,2,0:15:54,35,54,1
2014020066,9,1,1,1,2,2,0,NULL,NULL,4,5,1,0:06:38,6,38,1
2014020065,27,30,1,1,2,2,1,NULL,NULL,5,5,3,0:12:21,52,21,1
2014020059,1,9,1,1,2,2,-2,NULL,NULL,5,5,2,0:10:52,30,52,1
2014020057,23,29,1,1,2,2,-1,NULL,NULL,5,5,3,0:05:52,45,52,1
