FromNodeId,ToNodeId,ACTION,Occurrences,ActionValue
303,63116,PENALTY,54,-0.13269399237022378
1873,63205,PENALTY,33,-0.07376751609260018
2569,64463,PENALTY,18,0.0006077893985200755
2625,64518,PENALTY,21,-0.03126152568034318
1028,65121,PENALTY,31,-0.1241074101295001
380,65619,PENALTY,15,-0.05077039838541597
22,66691,PENALTY,32,-0.14201432278258108
183,67373,PENALTY,16,-0.056596223583670724
6502,69593,PENALTY,28,-0.06977774355300365
62,70756,PENALTY,32,-0.08154916263210854
263,71623,PENALTY,15,-0.04775817393761694
2884,72697,PENALTY,15,-0.12106607264698444
649,73082,PENALTY,25,-0.03907890231198574
2948,73342,PENALTY,71,-0.09681353299859047
2273,73422,PENALTY,51,-0.11773907475179352
939,73741,PENALTY,29,-0.13439512813212046
258,74112,PENALTY,26,-0.0401614501323348
281,74639,PENALTY,50,-0.15013786182104966
2502,75002,PENALTY,22,-0.09209974382001429
647,75397,PENALTY,54,-0.08770848024670352
3103,76515,PENALTY,45,-0.10528565818724916
2948,76719,PENALTY,31,-0.07034038337841392
1006,77249,PENALTY,43,-0.10901377429931264
751,77297,PENALTY,44,-0.1393385899147117
760,77620,PENALTY,23,-0.07458855986052004
1196,79255,PENALTY,62,-0.1017789570573353
418,80566,PENALTY,24,-0.11168837103726748
811,82481,PENALTY,24,-0.04471795374533305
812,83459,PENALTY,22,-0.0808227396842146
6502,84116,PENALTY,15,-0.06583705340346463
1048,85163,PENALTY,32,-0.031961153254805086
2948,86794,PENALTY,24,-0.06939149781708043
811,88650,PENALTY,22,-0.05328342823393939
1804,89112,PENALTY,20,-0.10634293347046248
210,89653,PENALTY,47,-0.09995659686843034
1217,90176,PENALTY,21,-0.1280001854129304
478,90705,PENALTY,37,-0.05332717939103779
1343,90822,PENALTY,55,-0.06626494587963633
656,91493,PENALTY,20,-0.00743672034266829
784,92639,PENALTY,22,-0.12126839987787458
2197,92668,PENALTY,20,-0.12650588948347163
1396,92669,PENALTY,19,-0.06645715579641837
12,94816,PENALTY,48,-0.0038282097321537534
4863,97227,PENALTY,20,-0.11493238213128065
2225,98555,PENALTY,23,-0.1676714139253464
2756,100309,PENALTY,18,-0.17894406399597784
4951,101943,PENALTY,27,-0.041773694401766676
418,103057,PENALTY,46,-0.09200691139273531
210,103576,PENALTY,42,-0.08662674370220802
161,104979,PENALTY,16,-0.13586017161958935
183,105186,PENALTY,22,-0.022669508587282672
183,105304,PENALTY,15,-0.00972111085746108
188,105937,PENALTY,16,-0.11503832162102734
4951,110095,PENALTY,15,-0.06250476378505676
2605,110424,PENALTY,36,-0.028459506912095256
138,111336,PENALTY,28,-0.07042481971595471
12,113353,PENALTY,26,-0.02154263268816692
4951,113558,PENALTY,74,-0.06530671197500451
142,114538,PENALTY,15,-0.11029533443234518
2251,118185,PENALTY,15,-0.15006739353560034
761,119368,PENALTY,16,-0.126704820853142
3755,120968,PENALTY,20,-0.10763567329872453
811,125094,PENALTY,20,-0.04650667189514629
9216,125412,PENALTY,19,-0.09045421985639962
695,126846,PENALTY,45,-0.12213546547820914
656,126984,PENALTY,22,-0.024835616202787347
138,131137,PENALTY,24,-0.08793591586380639
142,131139,PENALTY,29,-0.12765361229306393
2884,132710,PENALTY,17,-0.09720540366218594
916,136691,PENALTY,18,-0.12275619072438759
303,141103,PENALTY,26,-0.12255816861184571
590,141590,PENALTY,18,-0.1563849045723023
761,142220,PENALTY,21,-0.11416266280174736
31,146501,PENALTY,25,-0.11492260005388971
2948,146792,PENALTY,23,-0.07602725865565246
12,149367,PENALTY,39,-0.02144513669113174
3352,149956,PENALTY,16,-0.040110897871444784
9216,152155,PENALTY,16,-0.07424944592615029
4951,153648,PENALTY,19,-0.06043860650952407
72,155924,PENALTY,25,-0.14636044148645105
2502,161284,PENALTY,16,-0.09800668712707661
3765,162527,PENALTY,25,-0.11822157349638152
563,172050,PENALTY,18,-0.12859455872486403
1023,175934,PENALTY,22,-0.14011345145895493
90,185238,PENALTY,20,-0.13080562536903256
678,187290,PENALTY,17,-0.11062526472783801
84790,194325,PENALTY,18,-0.09113761338987675
6502,201097,PENALTY,18,-0.08269954791467096
14242,204257,PENALTY,17,0.04738280187442606
258,213133,PENALTY,20,-0.041112018198607714
834,242218,PENALTY,19,-0.1317440314473849
7219,279539,PENALTY,15,-0.13050145644529976
338,308674,PENALTY,22,-0.07472678001300753
121,319643,PENALTY,22,-0.018338186339343088
4268,326722,PENALTY,23,-0.00720104260457799
6491,360128,PENALTY,17,-0.0034504072195568336
210,366907,PENALTY,20,-0.0838321586130239
3765,366933,PENALTY,20,-0.11437299014710905
90,91,GIVEAWAY,37,0.006861517574277554
94,130,GIVEAWAY,221,-0.033586742816063386
