Season,SeasonType,PlayerId,PlayerName,SumOfSumOfImpact,SSIRank
2013-2014,Regular Season,8469622,Ryane Clowe,3.873871624,366
2013-2014,Regular Season,8475739,Michael Bournival,3.851799695,367
2013-2014,Regular Season,8470622,Patrick Eaves,3.784979437,368
2013-2014,Regular Season,8471856,Joe Vitale,3.767322425,369
2013-2014,Regular Season,8469992,Sheldon Brookbank,3.761696197,370
2013-2014,Regular Season,8473646,Ryan Carter,3.753589193,371
2013-2014,Regular Season,8471769,Niklas Hjalmarsson,3.73980665,372
2013-2014,Regular Season,8473468,Eric Gryba,3.735290734,373
2013-2014,Regular Season,8471514,Rich Peverley,3.707323283,374
2013-2014,Regular Season,8471724,Kris Letang,3.695431169,375
2013-2014,Regular Season,8473571,Jamie McBain,3.676510297,376
2013-2014,Regular Season,8469707,Pierre-Alexandre Parenteau,3.666276009,377
2013-2014,Regular Season,8475314,Anders Lee,3.662554745,378
2013-2014,Regular Season,8475213,Drew Shore,3.659908595,379
2013-2014,Regular Season,8469664,David Moss,3.612202249,380
2013-2014,Regular Season,8471346,Kris Versteeg,3.585062345,381
2013-2014,Regular Season,8475727,Ryan Spooner,3.564187749,382
2013-2014,Regular Season,8475744,Evgeny Kuznetsov,3.539842331,383
2013-2014,Regular Season,8457981,Teemu Selanne,3.490393269,384
2013-2014,Regular Season,8470159,Boyd Gordon,3.471982361,385
2013-2014,Regular Season,8468542,Paul Martin,3.452389218,386
2013-2014,Regular Season,8471504,Rene Bourque,3.438204826,387
2013-2014,Regular Season,8471236,Andrej Meszaros,3.437688582,388
2013-2014,Regular Season,8476482,Nicklas Jensen,3.408445558,389
2013-2014,Regular Season,8471269,Nicklas Grossmann,3.406428654,390
2013-2014,Regular Season,8475690,Christopher Tanev,3.405545503,391
2013-2014,Regular Season,8471678,Benoit Pouliot,3.394569724,392
2013-2014,Regular Season,8467423,Shawn Horcoff,3.386963515,393
2013-2014,Regular Season,8473422,Nick Foligno,3.341805531,394
2013-2014,Regular Season,8474610,Zac Dalpe,3.322372408,395
2013-2014,Regular Season,8476465,Ryan Murphy,3.307267718,396
2013-2014,Regular Season,8476235,Justin Fontaine,3.298801776,397
2013-2014,Regular Season,8474291,Jay Beagle,3.229317509,398
2013-2014,Regular Season,8474038,Paul Byron,3.223498341,399
2013-2014,Regular Season,8474094,Matt Halischuk,3.202251831,400
2013-2014,Regular Season,8477215,Danny DeKeyser,3.16994286,401
2013-2014,Regular Season,8469820,Zenon Konopka,3.134341594,402
2013-2014,Regular Season,8475180,Peter Holland,3.070187171,403
2013-2014,Regular Season,8462038,Shane Doan,3.0267276,404
2013-2014,Regular Season,8473970,Rob Klinkhammer,3.026206988,405
2013-2014,Regular Season,8468498,Brooks Orpik,3.01478148,406
2013-2014,Regular Season,8476191,Kevan Miller,2.979452435,407
2013-2014,Regular Season,8474192,Matt Frattin,2.974262907,408
2013-2014,Regular Season,8471677,Jack Johnson,2.956856054,409
2013-2014,Regular Season,8474137,Drayson Bowman,2.9284255,410
2013-2014,Regular Season,8470760,Marc Methot,2.904839828,411
2013-2014,Regular Season,8475770,Emerson Etem,2.896908446,412
2013-2014,Regular Season,8474584,Michael Del Zotto,2.895785396,413
2013-2014,Regular Season,8462196,Stephane Robidas,2.894525971,414
2013-2014,Regular Season,8476205,Stephane Da Costa,2.850255701,415
2013-2014,Regular Season,8475640,Erik Gustafsson,2.844448689,416
2013-2014,Regular Season,8474709,Matt Martin,2.835815641,417
2013-2014,Regular Season,8465202,Sami Salo,2.829621754,418
2013-2014,Regular Season,8465978,Shawn Thornton,2.820098013,419
2013-2014,Regular Season,8475598,Ryan Stanton,2.806753348,420
2013-2014,Regular Season,8469619,Dennis Seidenberg,2.787545481,421
