Season,SeasonType,PlayerId,PlayerName,SumOfSumOfImpact,ImpactRank
2007-2008,Regular Season,8465122,Brett Clark,3.30602134,352
2007-2008,Regular Season,8467880,Kris Beech,3.29864585,353
2007-2008,Regular Season,8473473,Milan Lucic,3.279372526,354
2007-2008,Regular Season,8468505,Steve Ott,3.244582931,355
2007-2008,Regular Season,8468162,Jerred Smithson,3.244290273,356
2007-2008,Regular Season,8471339,Ryan Callahan,3.22926213,357
2007-2008,Regular Season,8470580,Jed Ortmeyer,3.219403817,358
2007-2008,Regular Season,8468427,Brian Pothier,3.202578534,359
2007-2008,Regular Season,8468485,Raffi Torres,3.193431733,360
2007-2008,Regular Season,8458519,Aaron Ward,3.1779622,361
2007-2008,Regular Season,8468496,Marcel Hossa,3.167064982,362
2007-2008,Regular Season,8473482,Jiri Tlusty,3.165129547,363
2007-2008,Regular Season,8462032,Bryan Berard,3.155202502,364
2007-2008,Regular Season,8452371,Glen Wesley,3.120275495,365
2007-2008,Regular Season,8462176,Brent Sopel,3.113030517,366
2007-2008,Regular Season,8466147,Jason Ward,3.06142068,367
2007-2008,Regular Season,8468486,Scott Hartnell,3.0451619,368
2007-2008,Regular Season,8473449,Kyle Okposo,2.998256005,369
2007-2008,Regular Season,8469460,Mike Komisarek,2.990258713,370
2007-2008,Regular Season,8469480,Jeff Woywitka,2.963527461,371
2007-2008,Regular Season,8469622,Ryane Clowe,2.949752105,372
2007-2008,Regular Season,8468509,Niklas Kronwall,2.941470677,373
2007-2008,Regular Season,8471231,Kyle Chipchura,2.934874214,374
2007-2008,Regular Season,8468517,Andy Hilbert,2.903422629,375
2007-2008,Regular Season,8470608,Robert Nilsson,2.879786669,376
2007-2008,Regular Season,8467905,Michael Ryan,2.873185031,377
2007-2008,Regular Season,8456547,Bret Hedican,2.835899758,378
2007-2008,Regular Season,8468172,Ruslan Fedotenko,2.826374976,379
2007-2008,Regular Season,8467412,Alexei Ponikarovsky,2.767299843,380
2007-2008,Regular Season,8470564,Joseph Motzko,2.760236876,381
2007-2008,Regular Season,8470631,Kamil Kreps,2.72833528,382
2007-2008,Regular Season,8459571,Andreas Karlsson,2.725225126,383
2007-2008,Regular Season,8469812,Chad LaRose,2.662574698,384
2007-2008,Regular Season,8470920,David Clarkson,2.625959382,385
2007-2008,Regular Season,8470642,Shea Weber,2.592026688,386
2007-2008,Regular Season,8471229,Petteri Nokelainen,2.588943776,387
2007-2008,Regular Season,8458527,Philippe Boucher,2.581943475,388
2007-2008,Regular Season,8471664,Mason Raymond,2.503456384,389
2007-2008,Regular Season,8467343,Martin Skoula,2.502016517,390
2007-2008,Regular Season,8470375,Patrick Thoresen,2.501034775,391
2007-2008,Regular Season,8469472,Shaone Morrisonn,2.480244826,392
2007-2008,Regular Season,8459461,Brendan Morrison,2.478197071,393
2007-2008,Regular Season,8467915,Mike Commodore,2.475659101,394
2007-2008,Regular Season,8469476,Tim Gleason,2.425270731,395
2007-2008,Regular Season,8452285,Wes Walz,2.424710718,396
2007-2008,Regular Season,8462225,Filip Kuba,2.412753131,397
2007-2008,Regular Season,8468534,Andreas Lilja,2.409679654,398
2007-2008,Regular Season,8468704,Antti Miettinen,2.37383029,399
2007-2008,Regular Season,8465012,Tom Poti,2.363901941,400
2007-2008,Regular Season,8470699,Jan Hejda,2.358336727,401
2007-2008,Regular Season,8471873,Anton Stralman,2.347842235,402
2007-2008,Regular Season,8465253,Marcus Nilson,2.334110319,403
2007-2008,Regular Season,8465210,Pavel Kubina,2.316815734,404
2007-2008,Regular Season,8471260,Blake Comeau,2.285398848,405
2007-2008,Regular Season,8469473,Marcel Goc,2.277793276,406
2007-2008,Regular Season,8462114,Sami Kapanen,2.243432899,407
2007-2008,Regular Season,8473646,Ryan Carter,2.235562599,408
2007-2008,Regular Season,8466158,Scott Hannan,2.20847866,409
2007-2008,Regular Season,8470640,Matthew Carle,2.201504452,410
2007-2008,Regular Season,8469666,Brandon Bochenski,2.201436096,411
2007-2008,Regular Season,8471514,Rich Peverley,2.197892777,412
2007-2008,Regular Season,8470171,Maxime Talbot,2.128923083,413
2007-2008,Regular Season,8467969,Mathias Tjarnqvist,2.128385068,414
2007-2008,Regular Season,8465202,Sami Salo,2.117549434,415
2007-2008,Regular Season,8471408,Petri Kontiola,2.084740812,416
2007-2008,Regular Season,8472394,Peter Harrold,2.084300848,417
2007-2008,Regular Season,8467304,Andy Sutton,2.083289901,418
2007-2008,Regular Season,8470755,Brad Richardson,2.067684666,419
2007-2008,Regular Season,8471735,Keith Yandle,2.032851934,420
2007-2008,Regular Season,8469465,Dan Hamhuis,2.022076625,421
