Season,SeasonType,PlayerId,PlayerName,SumOfSumOfImpact,ImpactRank,Goals,GoalsRank,Assists,AssistsRank,Points,PointsRank,PlusMinus,PlusMinusRank,Shots,ShotsRank,Hits,HitsRank,BlockedShots,BlockedShotsRank,Giveaways,GiveawaysRank,Takeaways,TakeawaysRank,PowerPlayTimeOnIce,PPTOIRank,ShortHandedTimeOnIce,SHTOIRank,PenaltyMinutes,PIMRank,TimeOnIce,TOIRank
2014-2015,"Regular Season",8471390,"Mike Santorelli",4.751708679,111,7,131,16,52,23,68,14,16,59,194,39,257,15,332,12,274,26,19,641,421,1342,347,6,511,30551,271
2014-2015,"Regular Season",8473482,"Jiri Tlusty",1.777105785,307,10,62,3,442,13,244,-11,742,47,273,31,338,17,305,13,247,16,130,3746,211,2699,235,6,503,30455,272
2014-2015,"Regular Season",8467967,"Chris Kelly",4.228268018,135,3,303,11,162,14,206,5,124,49,257,51,152,18,282,4,547,11,285,202,508,3638,150,11,358,30404,273
2014-2015,"Regular Season",8475225,"Craig Smith",5.873120405,79,10,67,9,187,19,130,6,93,98,39,27,386,5,609,20,105,18,106,4883,143,12,643,10,419,30293,274
2014-2015,"Regular Season",8469638,"Jussi Jokinen",4.489164,128,4,249,13,114,17,148,-3,545,56,219,8,635,18,291,10,339,14,189,4587,159,3276,187,22,150,30291,275
2014-2015,"Regular Season",8476822,"Luke Glendening",-0.090906512,655,3,360,2,535,5,490,4,175,40,331,57,115,27,184,3,574,14,197,155,530,6988,4,18,193,30288,276
2014-2015,"Regular Season",8471226,"Drew Stafford",0.902296744,429,5,214,12,128,17,150,-12,748,61,189,34,305,9,495,9,388,8,364,5277,123,1152,366,31,80,30239,277
2014-2015,"Regular Season",8474612,"Travis Hamonic",-1.911077411,811,3,341,4,408,7,395,0,331,39,343,82,42,51,63,11,296,9,331,572,429,3086,200,52,14,30224,278
2014-2015,"Regular Season",8471260,"Blake Comeau",2.599839463,246,11,43,8,216,19,131,6,94,71,121,97,22,7,552,12,290,6,427,1709,339,843,397,30,85,30214,279
2014-2015,"Regular Season",8468486,"Scott Hartnell",4.797901395,108,6,160,11,154,17,154,-11,740,85,73,70,73,20,250,13,243,16,128,5358,117,55,589,39,36,30198,280
2014-2015,"Regular Season",8476453,"Nikita Kucherov",8.604744786,25,14,20,17,37,31,18,20,3,79,90,27,388,13,394,20,100,13,203,3693,217,68,578,6,531,30081,281
2014-2015,"Regular Season",8475155,"Simon Despres",-0.287381195,695,1,513,8,240,9,314,9,61,37,357,113,6,49,66,9,360,4,513,1196,368,865,395,50,16,30041,282
2014-2015,"Regular Season",8473468,"Eric Gryba",2.297242124,270,0,630,5,385,5,447,5,138,25,484,62,97,18,279,13,245,5,465,94,576,5195,49,62,8,29991,283
2014-2015,"Regular Season",8474176,"Carl Hagelin",3.363396771,183,7,140,6,297,13,240,5,126,58,203,32,325,16,317,19,112,24,34,198,510,4084,102,24,125,29989,284
2014-2015,"Regular Season",8471346,"Kris Versteeg",3.04568792,201,9,77,16,51,25,50,15,11,75,104,10,602,9,509,14,227,15,154,3978,193,151,530,23,142,29975,285
2014-2015,"Regular Season",8467545,"Michael Ryder",1.690138233,319,4,246,10,176,14,209,-1,413,69,132,38,262,10,463,13,253,5,466,3139,258,18,636,24,134,29863,286
2014-2015,"Regular Season",8471794,"Darren Helm",7.247402896,44,5,221,11,159,16,173,-3,548,67,143,51,150,11,431,6,475,8,373,2658,285,2845,226,2,628,29798,287
